date,track_name,artist_name,uri,link,uri_real,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"September 4, 2022 at 03:52AM",In My Blood,Motel Radio,7k4vaemd7VxmddN7jgZAoZ,https://open.spotify.com/track/7k4vaemd7VxmddN7jgZAoZ,spotify:track:7k4vaemd7VxmddN7jgZAoZ,0.569,0.797,4,-6.378,0.0322,0.0356,0.00529,0.333,0.69,132.567,207788
"September 4, 2022 at 03:56AM",Bizness,Dead Swells,6WduGBRrmA0e45c61trfdl,https://open.spotify.com/track/6WduGBRrmA0e45c61trfdl,spotify:track:6WduGBRrmA0e45c61trfdl,0.715,0.633,5,-8.026,0.0291,0.069,0.00153,0.103,0.692,107.011,230636
"September 4, 2022 at 03:59AM",You Are Now on Fire,Slow Hollows,2BvQOZ0gTo1mUxsBYjo6QD,https://open.spotify.com/track/2BvQOZ0gTo1mUxsBYjo6QD,spotify:track:2BvQOZ0gTo1mUxsBYjo6QD,0.778,0.602,8,-7.292,0.0396,0.0959,0.0864,0.111,0.666,115.961,183931
"September 4, 2022 at 04:03AM",Loosen Up,Loneborn,6RQ2TdRcVoo1tv3Q3LJ5Tb,https://open.spotify.com/track/6RQ2TdRcVoo1tv3Q3LJ5Tb,spotify:track:6RQ2TdRcVoo1tv3Q3LJ5Tb,0.711,0.709,0,-6.615,0.0263,0.0761,0.0076,0.134,0.791,100.02,240000
"September 4, 2022 at 04:06AM",Chains,Spendtime Palace,5ZaNOtW8qLBPEMsF7LvaUH,https://open.spotify.com/track/5ZaNOtW8qLBPEMsF7LvaUH,spotify:track:5ZaNOtW8qLBPEMsF7LvaUH,0.72,0.353,5,-13.909,0.0524,0.711,0.578,0.11,0.58,119.983,201967
"September 4, 2022 at 04:10AM",Post Grad,Modern Diet,7CJn0QRqr5jgzW42K5E4FZ,https://open.spotify.com/track/7CJn0QRqr5jgzW42K5E4FZ,spotify:track:7CJn0QRqr5jgzW42K5E4FZ,0.661,0.667,11,-5.661,0.0266,0.3,8.2e-06,0.43,0.536,112.006,197587
"September 4, 2022 at 04:13AM",Pennie,Gibontine,5z000WwBlKu2S0QQF3BoW9,https://open.spotify.com/track/5z000WwBlKu2S0QQF3BoW9,spotify:track:5z000WwBlKu2S0QQF3BoW9,0.721,0.551,6,-11.676,0.0347,0.0254,0.0,0.104,0.478,110.044,180545
"September 4, 2022 at 04:16AM",Side Eye,Nature TV,7GcBcgN3zA0hNGyFr0Laxt,https://open.spotify.com/track/7GcBcgN3zA0hNGyFr0Laxt,spotify:track:7GcBcgN3zA0hNGyFr0Laxt,0.561,0.919,8,-5.436,0.0611,0.0133,0.0,0.0991,0.942,163.864,228822
"September 4, 2022 at 04:20AM",If I Had To,Langva,0EgZKGSH0oQgNLOEWsFGOI,https://open.spotify.com/track/0EgZKGSH0oQgNLOEWsFGOI,spotify:track:0EgZKGSH0oQgNLOEWsFGOI,0.589,0.571,7,-8.178,0.0391,0.316,0.000425,0.238,0.617,104.877,194347
"September 4, 2022 at 04:23AM",Moving Parts,Julien Chang,4WrU5X70A0oAaYa42MrAKr,https://open.spotify.com/track/4WrU5X70A0oAaYa42MrAKr,spotify:track:4WrU5X70A0oAaYa42MrAKr,0.585,0.679,10,-10.507,0.0364,0.188,0.0601,0.134,0.607,106.008,175170
"September 4, 2022 at 04:26AM",Familiar Ways,Mute Choir,2wN5LBTOtDac4HpEiDbvvm,https://open.spotify.com/track/2wN5LBTOtDac4HpEiDbvvm,spotify:track:2wN5LBTOtDac4HpEiDbvvm,0.743,0.722,1,-7.373,0.0329,0.0508,0.000328,0.097,0.921,119.994,202295
"September 4, 2022 at 04:28AM",Blueshell,Aisle 5,758V4qQ1s2Z785j8mc0b4u,https://open.spotify.com/track/758V4qQ1s2Z785j8mc0b4u,spotify:track:758V4qQ1s2Z785j8mc0b4u,0.712,0.68,0,-6.255,0.0567,0.116,0.00331,0.0991,0.852,82.371,144000
